fips,m_w_ins,m_wo_ins,f_w_ins,f_wo_ins,all_w_ins,all_wo_ins
19109,7112,425,7158,327,14270,752
19111,15554,1813,15861,1472,31415,3285
19113,98672,7125,102735,6117,201407,13242
19115,5331,366,5018,426,10349,792
19117,3889,436,3961,312,7850,748
19119,5292,567,5245,449,10537,1016
19121,7185,541,7336,395,14521,936
19123,10334,800,10558,470,20892,1270
19125,15729,734,15889,647,31618,1381
19127,18265,1919,18398,1389,36663,3308
19129,6865,528,6811,418,13676,946
19131,4662,625,4802,456,9464,1081
19133,4113,336,4084,343,8197,679
19135,3490,602,3357,417,6847,1019
19137,4447,518,4980,327,9427,845
19139,19539,1665,19543,1683,39082,3348
19141,6514,472,6423,477,12937,949
19143,2812,263,2737,295,5549,558
19145,6505,822,6810,597,13315,1419
19147,4213,355,4197,240,8410,595
19149,11390,766,11769,636,23159,1402
19151,3169,326,3264,208,6433,534
19153,202694,17295,213559,13896,416253,31191
19155,40374,4897,43002,3788,83376,8685
19157,8281,576,8937,594,17218,1170
19159,2148,282,2171,273,4319,555
19161,4568,358,4657,324,9225,682
19163,74793,7742,80096,5650,154889,13392
19165,5277,539,5582,372,10859,911
19167,15807,1411,15737,1129,31544,2540
19169,45559,2642,42773,1887,88332,4529
19171,7763,735,7896,704,15659,1439
19173,2683,396,2720,312,5403,708
19175,5477,483,5890,585,11367,1068
19177,3256,524,3112,473,6368,997
19179,15390,1800,16210,1526,31600,3326
19181,21891,1175,22863,1028,44754,2203
19183,9615,1082,9902,1095,19517,2177
19185,2650,385,2814,433,5464,818
19187,15924,1780,16616,1216,32540,2996
19189,4821,308,5032,234,9853,542
19191,9724,563,9833,484,19557,1047
19193,43575,6383,47044,4576,90619,10959
19195,3395,305,3519,243,6914,548
19197,5785,580,5903,489,11688,1069
16001,179687,24140,186069,21581,365756,45721
16003,1685,338,1408,417,3093,755
16005,35907,5326,35846,5215,71753,10541
16007,2602,372,2618,308,5220,680
16009,3578,964,3616,844,7194,1808
16011,19203,3329,19504,3105,38707,6434
